"Payee","Amount","Date","Description","Directorate"
"Centre for Confidence & Well Being",62500,"27-05-2010","Public Mental Health Improvement","Primary & Community Care"
"University Of Glasgow",39993,"27-05-2010","Health Services Research","Chief Medical Officer"
"University Of Dundee",39958,"27-05-2010","Health Services Research","Chief Medical Officer"
"Boswell Mitchell & Johnston",38657.5,"27-05-2010","Crime Campus project","Police & Community Safety"
"Association of Scottish Neighbourhood Watches",84132,"27-05-2010","Community Safety Unit","Police & Community Safety"
"Active Learning Centre, The",106815.28,"27-05-2010","International Development","Culture, External Affairs and Tourism"
"Scotland Malawi Mental Health Project (SMMHEP)",86490,"27-05-2010","International Development","Culture, External Affairs and Tourism"
"Eurotalk Interactive",128500,"27-05-2010","International Development","Culture, External Affairs and Tourism"
"Concern Worldwide",59764,"27-05-2010","International Development","Culture, External Affairs and Tourism"
"Scottish Agricultural College",137204,"27-05-2010","International Development","Culture, External Affairs and Tourism"
"Our Dynamic Earth",350000,"27-05-2010","Office of the Chief Scientific Adviser","Office of the Chief Scientific Adviser"
"Cumnock & Doon Valley Credit Union Limited",55000,"27-05-2010","Third Sector Enterprise Fund","Public Service Reform"
"Loch Lomond & The Trossachs National Park Authority",500000,"28-05-2010","National Park Current Grant","Rural Directorate"
"Dunston Ship Repairs Limited",85377.61,"28-05-2010","Maintenance RefIt","Marine Scotland Directorate"
"Coalfields Regeneration Trust",368020,"28-05-2010","CS Coalfields Regeneration Trust - Curr Gts to Priv Sect","Housing & Regeneration"
"Irvine Bay Urban Regeneration Company",430580.66,"28-05-2010","Urban Regeneration Companies","Housing & Regeneration"
"Dumfries & Stewart Womens Aid",25868.82,"28-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Linkwide Limited",150000,"28-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Hebridean Housing Partnership Limited",76072.36,"28-05-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Hebridean Housing Partnership Limited",164065.44,"28-05-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Hebridean Housing Partnership Limited",27900.77,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Orkney Housing Association Limited",124351.87,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Hebridean Housing Partnership Limited",69751.92,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Orkney Housing Association Limited",140938,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cairn Housing Association Limited",106414,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Cairn Housing Association Limited",389408.12,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Lanarkshire Housing Assoc Limited",34751,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Atrium Homes",51247.64,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",64030.8,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Loreburn Housing Association Limited",205206.33,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Loreburn Housing Association Limited",31862.25,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"River Clyde Homes",91504.35,"28-05-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Cloch Housing Association limited",622072.5,"28-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Inverclyde Council",105000,"28-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"South Lanarkshire Council (Fleet Services)",160000,"28-05-2010","GTS To Las Gaelic Educ","Culture, External Affairs and Tourism"
"Glasgow East Regeneration Agency",35832.59,"28-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"Skills Development Scotland Company Limited",113164.8,"28-05-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Enterprise and Energy"
"STUC Training Limited",30432.48,"28-05-2010","Scottish Union Learning (SUL) Team Employment Costs --05-2010","Lifelong Learning"
"Highlands And Islands Airports Limited",1200000,"28-05-2010","Highlands & Islands Airports Limited Support for airport operations","Transport Directorate"
"The Royal National Institute for Deaf People (RNID)",48750,"28-05-2010","People with sensory impairments","Primary & Community Care"
"Deafblind Scotland",27250,"28-05-2010","People with sensory impairments","Primary & Community Care"
"Fife Society For The Blind",50000,"28-05-2010","People with sensory impairments","Primary & Community Care"
"RNIB Scotland",56250,"28-05-2010","People with sensory impairments","Primary & Community Care"
"Sight Action",47625,"28-05-2010","People with sensory impairments","Primary & Community Care"
"Scottish Legal Aid Board",3975000,"28-05-2010","Legal Aid Fund","Justice Directorate"
"Strathclyde Fire Brigade",250000,"28-05-2010","New Dimensions","Police & Community Safety"
"Strathclyde Fire Brigade",897000,"28-05-2010","New Dimensions","Police & Community Safety"
"Messrs A & M Gibson",45117.3,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Arbigland Farms",33702.35,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"W F E Forbes",48546.95,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Haybrake Farms",33114.99,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"John McCallum & Partner",34235.6,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Gordon A Mackie",32200,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Ms E J Mackenzie & Co",135400.64,"28-05-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"BT Plc",91069.95,"28-05-2010","Telephone Call Charges","Human Resources & Corporate Services"
"Concern Worldwide",144928,"28-05-2010","International Development","Culture, External Affairs and Tourism"
"Oxfam in Scotland",180000,"28-05-2010","International Development","Culture, External Affairs and Tourism"
"Scottish Social Enterprise Coalition",40300,"28-05-2010","Strategic Partnerships","Public Service Reform"
