"Payee","Amount","Date","Description","Directorate"
"Albyn H S Limited",473740.61,"16-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Albyn H S Limited",152043,"16-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Link Group Limited",158965,"16-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",58000,"16-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Scottish Water Business Stream",29981.02,"16-04-2010","Fuel & UtiIities","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",69915.17,"16-04-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Scottish Legal Aid Board",3698000,"16-04-2010","Legal Aid Fund","Justice Directorate"
"Immigration Advisory Service (IAS)",101250,"16-04-2010","Immigration Advisory Service","Justice Directorate"
"Serco Home Affairs - Scottish EM",403518.68,"16-04-2010","Electronic Tagging","Justice Directorate"
"MediaCom",28952.41,"16-04-2010","PACE (Partnership Action for Continuing Employment)","Lifelong Learning"
"Orkney Fisheries Association",44740,"16-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Marr Vessel Management Limited",132894.74,"16-04-2010","Frv- Mar Contract","Marine Scotland Directorate"
"Marr Vessel Management Limited",65358.47,"16-04-2010","Frv- Mar Contract","Marine Scotland Directorate"
"Highland Council, The",191000,"16-04-2010","Fire Pensions","Police & Community Safety"
"Dumfries and Galloway Council",90167,"16-04-2010","Fire Pensions","Police & Community Safety"
"Falkirk Council",279750,"16-04-2010","Fire Pensions","Police & Community Safety"
"Grampian Fire & Rescue Service",323167,"16-04-2010","Fire Pensions","Police & Community Safety"
"Strathclyde Fire Brigade",2607250,"16-04-2010","Fire Pensions","Police & Community Safety"
"City of Edinburgh Council",539833,"16-04-2010","Fire Pensions","Police & Community Safety"
"Tayside Fire Board",450000,"16-04-2010","Fire Pensions","Police & Community Safety"
"Fife Council",411083,"16-04-2010","Fire Pensions","Police & Community Safety"
"Scottish Youth Parliament",34288,"16-04-2010","Community Safety Unit","Police & Community Safety"
"Scottish Business Crime Centre",66475,"16-04-2010","Community Safety Unit","Police & Community Safety"
"Scottish Sports Futures",104527,"16-04-2010","Cashback for Communities","Police & Community Safety"
"University Of Manchester",26000,"16-04-2010","Public Mental Health Improvement","Primary & Community Care"
"Whitespace (Scotland) Limited",45331.5,"16-04-2010","Social Marketing for Health Improvement","Public Health and Health Improvement"
"Improvement Service",113998,"16-04-2010","Efficiency and Transformational Technologies - Operating","Public Service Reform"
"Moray Voluntary Service Organisation",45091,"16-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Voluntary Action Shetland",44739,"16-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Scottish Council For Voluntary Organisations (SCVO)",87500,"16-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Voluntary Action Fund",312000,"16-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Volunteer Centre Edinburgh",31510,"16-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Scottish Council For Voluntary Organisations (SCVO)",194000,"16-04-2010","Strategic Partnerships","Public Service Reform"
"Forth Sector",54651.2,"16-04-2010","Third Sector Evidence Base","Public Service Reform"
"Scottish Agricultural College",255000,"16-04-2010","Public Good Advice","Rural Directorate"
"Scottish Agricultural College",343000,"16-04-2010","Veterinary Surveillance Expenditure","Rural Directorate"
"Objective Corporation UK Limited",42617.37,"16-04-2010","1 year Software Licences","Rural Payments & Inspections Directorate"
"Scottish Schools Education & Research Centre (SSERC)",166930,"16-04-2010","Grant Payment to support the delivery of science education in Scottish schools.","Learning Directorate"
"National Trust For Scotland",62000,"16-04-2010","Grant Payment to support Heritage Eduction School Visits to 3 National Trust for Scotland sites","Learning Directorate"
"Highlands and Islands Enterprise",4000000,"19-04-2010","Grant in Aid Payment to Highlands and Islands Enterprise","Business, Energy"
"West Dunbartonshire Council",475232.71,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish Qualifications Authority (SQA)",28333.68,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"West Fife Enterprise Limited",185332.38,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Workers Educational Association (Scotland)",52506.03,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish Bakery Training Council",102480.44,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Scottish Qualifications Authority (SQA)",121750.69,"19-04-2010","European Social Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Spinsight Limited",26425,"19-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"Crocodile Clips Limited",32137,"19-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"NHS National Services Scotland",30000,"19-04-2010","Developing Care, Enabling Health","Chief Nursing Officer"
"Capacity Building for Enterprise (CBE)",149868,"19-04-2010","International Development","Culture, External Affairs and Tourism"
"RR Donnelley Global Document Solutions formerly Astron",137809.29,"19-04-2010","Scotland's International Image","Culture, External Affairs and Tourism"
"Commission for Equality and Human Rights",31216.5,"19-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Scottish Interfaith Council",38761.17,"19-04-2010","Equality Development","Equality, Social Inclusion and Sport"
"Age Scotland",52500,"19-04-2010","1st Quarter Grant Payment to Age Scotla","Equality, Social Inclusion and Sport"
"Poverty Alliance",46125,"19-04-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Veterans Scotland",85000,"19-04-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"NHS Institute for Innovation & Improvement",29375,"19-04-2010","Long Term Conditions Collab.","Health Delivery"
"NHS Supply Chain",1944031,"19-04-2010","Pandemic Flu","Health Delivery"
"Architecture & Design Scotland (A&DS)",26426.88,"19-04-2010","Urban Regeneration Companies","Housing & Regeneration"
"Highland Council, The",31849,"19-04-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"North View Housing Association Limited",48000,"19-04-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"Tenants First Housing Co-operative",26115.4,"19-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Grampian Housing Association Limited",413307.68,"19-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Scottish Power plc",94793.84,"19-04-2010","Fuel & UtiIities","Human Resources & Corporate Services"
"Dell Computer Corporation Limited",45002.5,"19-04-2010","ICT S/W LICENCE additions","Human Resources & Corporate Services"
"Dell Computer Corporation Limited",35837.5,"19-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Maindec Computer Solutions Limited",92944.32,"19-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Axios Systems Limited",83867.98,"19-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Specialist Computer Centres plc",59240.56,"19-04-2010","Job - Related Training","Human Resources & Corporate Services"
"Chubb Security Personnel Limited",45531.25,"19-04-2010","Security Services","Justice Directorate"
"Clackmannanshire Council",51590,"19-04-2010","Community Justice Authorities","Justice Directorate"
"South Lanarkshire Council",92844.87,"19-04-2010","Hostel Accomodation Current","Justice Directorate"
"Scottish Police Services Authority (SPSA)",53381,"19-04-2010","Violent and Sexual Offences Register (VISOR)","Justice Directorate"
"Kibble Safe Centre",200466,"19-04-2010","Res Accomm For Children","Justice Directorate"
"Rossie Secure Accommodation Services",130500,"19-04-2010","Res Accomm For Children","Justice Directorate"
"Student Loans Company Limited",20607281,"19-04-2010","Student Loan Advances","Lifelong Learning"
"East Lothian Council",57863,"19-04-2010","DtS: Local Government","Lifelong Learning"
"City of Edinburgh Council",284207.32,"19-04-2010","DtS: Local Government","Lifelong Learning"
"Scottish Borders Council",119847.31,"19-04-2010","DtS: Local Government","Lifelong Learning"
"Inverclyde Council",131963.83,"19-04-2010","DtS: Local Government","Lifelong Learning"
"Clackmannanshire Council",180603,"19-04-2010","DtS: Local Government","Lifelong Learning"
"Dumfries and Galloway Council",447499,"19-04-2010","DtS: Local Government","Lifelong Learning"
"Lunar Freezing and Cold Storage",36477,"19-04-2010","EFF (Non Convergence)","Marine Scotland Directorate"
"ASCO UK Limited",65119.77,"19-04-2010","Frv- Fuel/Lubricate","Marine Scotland Directorate"
"Department for Communities & Local Government (DCLG)",7875263.6,"19-04-2010","Firelink Indirect Capital","Police & Community Safety"
"LearnPro Limited",107130.63,"19-04-2010","Cen Train - Current","Police & Community Safety"
"Dumfries and Galloway Constabulary",64301.89,"19-04-2010","Police Authorities Additional Funding","Police & Community Safety"
"IDIS Limited",53199.3,"19-04-2010","Public Health Fund","Public Health and Health Improvement"
"Rocket Science UK Limited",47000,"19-04-2010","Challenging Obesity","Public Health and Health Improvement"
"Social Enterprise Academy",71250,"19-04-2010","Strategic Partnerships","Public Service Reform"
"Scottish Agricultural College",625000,"19-04-2010","Sac- Grant In Aid","Rural & Environmental Research & Analysis"
"City of Edinburgh Council",381294,"19-04-2010","Contrib In Lieu Of Rates","Rural Payments & Inspections Directorate"
"Capgemini UK Plc",7656805.25,"19-04-2010","Project Support Services","Scottish Procurement Directorate"
"Spikes Cavell Analytic Limited",70992.04,"19-04-2010","Statistical Services","Scottish Procurement Directorate"
"University of Leeds",30360,"19-04-2010","Consultancy - Analytical Services","Transport Directorate"
"British Waterways Scotland",205400,"19-04-2010","BWB Grant - Capital","Transport Directorate"
"British Waterways Scotland",821600,"19-04-2010","BWB Grant - Resource","Transport Directorate"
"Castle Precision Engineering (Glasgow) Limited",375000,"20-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Eurofriction Limited",250000,"20-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Leith Agency Limited, The",83425,"20-04-2010","Scotland's International Image","Culture, External Affairs and Tourism"
"Renfrewshire Council",37080,"20-04-2010","Air Quality Cap Grant to LA","Environmental Quality"
"Scottish Futures Trust Limited",352914.76,"20-04-2010","Scottish Futures Trust","Finance"
"Aberdeen City Council",124341,"20-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Angus Council",72256,"20-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Garrion Peoples Housing Co op",50000,"20-04-2010","Wider Role Support for RSL's - Curr Gts to Priv Sect","Housing & Regeneration"
"Cambridge Architectural Research limited",34738.88,"20-04-2010","Greenhouse gas emmissions research project","Housing & Regeneration"
"Argyll Community Housing Association",117485.65,"20-04-2010","COP Early Action cap grts to LA","Housing & Regeneration"
"Link Group Limited",110635,"20-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cube Housing Association Limited",210983.57,"20-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cordale Housing Association",496122.1,"20-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Fyne Homes Limited",43803.03,"20-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Argyll Community Housing Association",186262.48,"20-04-2010","COP Early Action cap grts to LA","Housing & Regeneration"
"Glasgow Housing Association Limited",44082.86,"20-04-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"John Ross Jr (Aberdeen) Limited",84778,"20-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Island Innovations Limited",62499,"20-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Sopra Group Limited",27510.36,"20-04-2010","IT Contractor work on UK IT Fishery Systems - MCSS, UKCCMS, UKFCC and ERS","Marine Scotland Directorate"
"Mainliners",32500,"20-04-2010","Hepatitis C Phase II Action Plan","Public Health and Health Improvement"
"Dundee City Council",5812577,"20-04-2010","General Revenue Grant","Public Service Reform"
"Angus Council",4035923,"20-04-2010","General Revenue Grant","Public Service Reform"
"North Lanarkshire Council",12293212,"20-04-2010","General Revenue Grant","Public Service Reform"
"Fife Council",12641808,"20-04-2010","General Revenue Grant","Public Service Reform"
"Stirling Council",3349923,"20-04-2010","General Revenue Grant","Public Service Reform"
"Perth and Kinross Council",4860923,"20-04-2010","General Revenue Grant","Public Service Reform"
"City of Edinburgh Council",14706577,"20-04-2010","General Revenue Grant","Public Service Reform"
"Renfrewshire Council",6354000,"20-04-2010","General Revenue Grant","Public Service Reform"
"East Ayrshire Council",4494538,"20-04-2010","General Revenue Grant","Public Service Reform"
"Dumfries and Galloway Council",5915577,"20-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeenshire Council",8009115,"20-04-2010","General Revenue Grant","Public Service Reform"
"South Lanarkshire Council",11054904,"20-04-2010","General Revenue Grant","Public Service Reform"
"Aberdeen City Council",6585135,"20-04-2010","General Revenue Grant","Public Service Reform"
"Orkney Islands Council",1405404,"20-04-2010","General Revenue Grant","Public Service Reform"
"Comhairle Nan Eilean Siar",2161654,"20-04-2010","General Revenue Grant","Public Service Reform"
"Moray Council",3159962,"20-04-2010","General Revenue Grant","Public Service Reform"
"East Lothian Council",3279923,"20-04-2010","General Revenue Grant","Public Service Reform"
"Shetland Islands Council",1833462,"20-04-2010","General Revenue Grant","Public Service Reform"
"South Ayrshire Council",3971115,"20-04-2010","General Revenue Grant","Public Service Reform"
"Highland Council, The",9192519,"20-04-2010","General Revenue Grant","Public Service Reform"
"East Renfrewshire Council",3408962,"20-04-2010","General Revenue Grant","Public Service Reform"
"Scottish Borders Council",4225538,"20-04-2010","General Revenue Grant","Public Service Reform"
"Falkirk Council",5404000,"20-04-2010","General Revenue Grant","Public Service Reform"
"East Dunbartonshire Council",3557442,"20-04-2010","General Revenue Grant","Public Service Reform"
"West Lothian Council",5845596,"20-04-2010","General Revenue Grant","Public Service Reform"
"Clackmannanshire Council",1867538,"20-04-2010","General Revenue Grant","Public Service Reform"
"Argyll and Bute Council",4260904,"20-04-2010","General Revenue Grant","Public Service Reform"
"Midlothian Council",2977596,"20-04-2010","General Revenue Grant","Public Service Reform"
"Glasgow City Council",26009250,"20-04-2010","General Revenue Grant","Public Service Reform"
"North Ayrshire Council",5309865,"20-04-2010","General Revenue Grant","Public Service Reform"
"Inverclyde Council",3374269,"20-04-2010","General Revenue Grant","Public Service Reform"
"West Dunbartonshire Council",3934827,"20-04-2010","General Revenue Grant","Public Service Reform"
"Logica UK Limited",71337.78,"20-04-2010","National Managed Technical Service to support eCare programme","Public Service Reform"
"Volunteer Development Scotland",561855,"20-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Volunteer Development Scotland",225000,"20-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Perth & Kinross Association of Voluntary Service Limited",45768,"20-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"CVS Falkirk & District",45768,"20-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Scottish Agricultural College",85000,"20-04-2010","SAC Capital W & B","Rural & Environmental Research & Analysis"
"Scottish Agricultural Organisation Society Limited (SAOS)",191500,"20-04-2010","SAOS Grant","Rural Directorate"
"Sopra Group Limited",719106.9,"20-04-2010","Provision of IT Services","Rural Payments & Inspections Directorate"
"Duggan Forestry Ltd",36500.16,"20-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Dalmahoy Farms",26023.14,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments & Inspections Directorate"
"Torrance Farms Ltd",27161.04,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments & Inspections Directorate"
"Messrs John A Wallace & Sons",35472.6,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments & Inspections Directorate"
"Genoch Mains Farms",57251.39,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments & Inspections Directorate"
"Braeroy Estate Ltd",64089.64,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments & Inspections Directorate"
"G Barbour & Co",73279.87,"20-04-2010","Support for Scottish Agriculture (€ equiv)","Rural Payments and Inspection Directorate"
"Daily Record",26508,"20-04-2010","A contractual sponsorship payment to the Daily Record (media partner) for the 2010 Scottish Education Awards.","Learning Directorate"
"D3 Technologies Limited",35000,"21-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"GB Oils Limited",65000,"21-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Realtime Worlds Limited",200000,"21-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Caledonian Airborne Systems Limited",50000,"21-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Morris and Spottiswood Limited",36163.13,"21-04-2010","Vale of Leven Public Inquiry Secondee and Non DRC Secretariat","Chief Nursing Officer"
"Scottish Arts Council",389000,"21-04-2010","Scottish Arts Council","Culture, External Affairs and Tourism"
"National Trust For Scotland",54368.49,"21-04-2010","Arts Research","Culture, External Affairs and Tourism"
"Improvement Service",101673,"21-04-2010","Planning System Capacity and Capability","Directorate for the Built Environment"
"NHS National Services Scotland",268686,"21-04-2010","Pandemic Flu- Capital","Health Delivery"
"Department Of Health",40000,"21-04-2010","Hepatitis C-Ex-gratia payment scheme","Healthcare Policy and Strategy"
"Midlothian Council",43350,"21-04-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Shetland Islands Council",101401,"21-04-2010","Housing Costs AME","Housing & Regeneration"
"Hebridean Housing Partnership Limited",59500,"21-04-2010","COP Early Action cap grant to PS","Housing & Regeneration"
"Garrion Peoples Housing Co op",256827,"21-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow Housing Association Limited",245312.39,"21-04-2010","GHA Reprovisioning Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow Housing Association Limited",2829779,"21-04-2010","GHA Reprovisioning Cap Gts to Priv Sect","Housing & Regeneration"
"Glasgow Housing Association Limited",1348672,"21-04-2010","GHA Reprovisioning Cap Gts to Priv Sect","Housing & Regeneration"
"City of Edinburgh Council",5127152.02,"21-04-2010","Dev Prog Cap Gts to LA'S","Housing & Regeneration"
"Scotland Europa",29366.93,"21-04-2010","Accommodation charge incl. rent, rates etc","Human Resources & Corporate Services"
"Pertemps Group Of Companies, The",64255.15,"21-04-2010","Agency Casual Staff Costs","Human Resources & Corporate Services"
"Clackmannanshire Council",163061,"21-04-2010","Offender Services Secondments","Justice Directorate"
"Dundee Science Centre",63250,"21-04-2010","Operational grant to Scottish Science Centres","Office of the Chief Scientific Adviser"
"Royal Society Of Edinburgh, The",564458.86,"21-04-2010","Grant to support programme delivery by the RSE","Office of the Chief Scientific Adviser"
"Strathclyde Police",27182.19,"21-04-2010","Public Safety Radio Communication System","Police & Community Safety"
"East Lothian Council",113436,"21-04-2010","Accom Charge","Police & Community Safety"
"Dundas & Wilson CS LLP",60769.12,"21-04-2010","CLO fees and outlays","Primary & Community Care"
"Royal Botanic Garden Edinburgh",1052532.76,"21-04-2010","RBG Grant In Aid","Rural & Environmental Research & Analysis"
"Scottish Agricultural College",63316.42,"21-04-2010","Studies:Far A/Cs","Rural & Environmental Research & Analysis"
"Mackies Ltd",71462,"21-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Danmerc Property Consultants & Management Limited",46336.13,"21-04-2010","SQA and LTS accommodation costs for the Optima Building, 58 Robertson Street, Glasgow, G2 8DU","Learning Directorate"
"Danmerc Property Consultants & Management Limited",87749,"21-04-2010","SQA and LTS accommodation costs for the Optima Building, 58 Robertson Street, Glasgow, G2 8DU","Learning Directorate"
"Danmerc Property Consultants & Management Limited",349622.57,"21-04-2010","SQA and LTS accommodation costs for the Optima Building, 58 Robertson Street, Glasgow, G2 8DU","Learning Directorate"
"Danmerc Property Consultants & Management Limited",184682.68,"21-04-2010","SQA and LTS accommodation costs for the Optima Building, 58 Robertson Street, Glasgow, G2 8DU","Learning Directorate"
"UHI Millennium Institute",515033.61,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Visit Scotland",221768.15,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"The Princes Trust",156762.08,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Hydrogen Office Limited",104866.97,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"UHI Millennium Institute",53848.47,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Highlands and Islands Enterprise",211508.23,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Comhairle Nan Eilean Siar",37669.11,"22-04-2010","European Regional Development Fund: Highlands and Islands 2007-2013 Programme","Business, Energy"
"Assynt Foundation",48337.19,"22-04-2010","Programme","Business, Energy"
"National Trust For Scotland",44535.51,"22-04-2010","Robert Burns Birthplace Museum","Culture, External Affairs and Tourism"
"Gate Worldwide Limited, The",41125,"22-04-2010","Scotland's International Image","Culture, External Affairs and Tourism"
"COI Communications",128512.58,"22-04-2010","National Communication Campaign Phase 1 Quarter 1","Health Delivery"
"Children In Scotland",65000,"22-04-2010","Early Years","Healthcare Policy and Strategy"
"Infertility Network Scotland",27659,"22-04-2010","Maternal Health","Healthcare Policy and Strategy"
"Ayrshire Housing",490419.59,"22-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Clydesdale Housing Association Limited",118356.25,"22-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",28216.66,"22-04-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"Cable and Wireless Communications",131936.3,"22-04-2010","System Support Costs - Other","Human Resources & Corporate Services"
"Carlson Wagonlit Travel UK Limited",61014.67,"22-04-2010","Scottish Government travel booked by appointed SG travel agent","Human Resources & Corporate Services"
"Dunston Ship Repairs Limited",58971.22,"22-04-2010","Maintenance RefIt","Marine Scotland Directorate"
"Qiagen Limited",110708.01,"22-04-2010","FRS Mar/Fresh Lab Sci Equip","Marine Scotland Directorate"
"Our Dynamic Earth",90000,"22-04-2010","Operational grant to Scottish Science Centres","Office of the Chief Scientific Adviser"
"Strathclyde Fire Brigade",43072.5,"22-04-2010","Seconded Staff Costs","Police & Community Safety"
"Association of Scottish Police Superintendents",36150,"22-04-2010","Assoc. of Scottish Police Superintendents","Police & Community Safety"
"Alcohol Focus Scotland",112250,"22-04-2010","Alcohol Misuse, Education Treatment & Prevention","Public Health and Health Improvement"
"Waters Limited",45204.54,"22-04-2010","P & M Additions - Liquid Chromatography System","Rural Payments & Inspections Directorate"
"CONON BRAE FARMS",80994.92,"22-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MR KENNETH H MACKENZIE",61881.99,"22-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"A & J ANDERSON",91720.2,"22-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"J D CLARKE",39104.28,"22-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"MR & MRS D PHILIP",32000,"22-04-2010","Support for Scottish Agriculture","Rural Payments and Inspection Directorate"
"Scottish Roadworks Commissioner",70000,"22-04-2010","Reg of Utility Roadworks Grant","Transport Directorate"
"Prince's Scottish Youth Business Trust",126084.14,"23-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Avanti Caledonian Broadband",55253.82,"23-04-2010","Broadband Reach Project","Business, Energy"
"Department of Energy & Climate Change (DECC)",30946,"23-04-2010","Climate Change- Policy Dev & Imp","Energy"
"The Newspaper Licensing Agency Limited",66798.86,"23-04-2010","Newspaper Licensing Agency Fee","Communications Directorate"
"Bord Gaidhlig na h-Alba",661537,"23-04-2010","Monthly Grant-in-aid to Bord na Gaidhlig","Culture, External Affairs and Tourism"
"Pain Association Scotland",35000,"23-04-2010","Section 16b grants","Healthcare Policy and Strategy"
"Health Protection Agency",56000,"23-04-2010","Inspection Under Radiation","Healthcare Policy and Strategy"
"Argyll Community Housing Association",7000000,"23-04-2010","COP Support Business Plan Cap Gr PS ","Housing & Regeneration"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",146001.89,"23-04-2010","Building works","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",72955.26,"23-04-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"MITIE Technical Facilities Management Limited (FNA Dalkia)",161771.7,"23-04-2010","Maintenance/Repairs","Human Resources & Corporate Services"
"Scottish Legal Aid Board",3849000,"23-04-2010","Legal Aid Fund","Justice Directorate"
"West Dunbartonshire Council",54000,"23-04-2010","EMA National Roll Out","Lifelong Learning"
"Nolan Seafoods (UK) Limited",31635,"23-04-2010","European Fisheries Fund Grant","Marine Scotland Directorate"
"Sea Fish Industry Authority",25349.16,"23-04-2010","FISH - STUDES/SURVEYS","Marine Scotland Directorate"
"A & O Systems & Services UK Limited",53826.75,"23-04-2010","It Systems/Equipment","Marine Scotland Directorate"
"TNS UK Limited t/a TNS BMRB",130924.38,"23-04-2010","Scottish Crime and Justice Survey","Police & Community Safety"
"Sodexo Limited",27178.28,"23-04-2010","Catering Contract","Police & Community Safety"
"Skills For Justice",33117,"23-04-2010","Cen Train - Current","Police & Community Safety"
"Combat Stress",50000,"23-04-2010","Improve Mental Health Services","Primary & Community Care"
"Mental Health Foundation",65500,"23-04-2010","Improve Mental Health Services","Primary & Community Care"
"Voluntary Action North Lanarkshire",59023,"23-04-2010","Localism - funding which supports development of the third sector","Public Service Reform"
"Inverness Properties (Bridge Street) Limited",25262.5,"23-04-2010","Rental on Crofters Commission Inverness Office","Rural Directorate"
"Saos Ltd",105241,"23-04-2010","Scotland Rural Development Programme","Rural Payments & Inspections Directorate"
"Strathclyde Partnership for Transport",5711000,"23-04-2010","Regional Transport Partnership - Capital Projects","Transport Directorate"
"City of Edinburgh Council",35000,"23-04-2010","Regional Transport Partnership - SESTRANS Revenue Costs","Transport Directorate"
"Loganair Limited",509029.64,"23-04-2010","Air Discount Scheme","Transport Directorate"
"University Of Dundee",50359.13,"26-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Roslin Foundation",60008.05,"26-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow North Regeneration Agency Limited",52359.07,"26-04-2010","European Regional Development Fund: Lowlands and Uplands Scotland 2007-2013 Programme","Business, Energy"
"Glasgow Opportunities",70034.45,"26-04-2010","Delivery of the Innovators Councelling and Advisory Service for Scotland","Business, Energy"
"University Of Edinburgh",47872.48,"26-04-2010","SEEKIT - Knowledge Exchange Programme","Business, Energy"
"R-Biopharm Rhone Limited",150000,"26-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"David Ritchie (Implements) Limited",40000,"26-04-2010","Regional Selective Assistance Grant Instalment","Business, Energy"
"Elonics Limited",75000,"26-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"Queen Margaret University College",39843,"26-04-2010","Health Services Research","Chief Medical Officer"
"BT Plc",378733.05,"26-04-2010","PVG Act Implementation","Children, Young People and Social Care"
"Visit Scotland",37975,"26-04-2010","Ryder Cup 2010","Culture, External Affairs and Tourism"
"SAIC Limited",26844.93,"26-04-2010","E-Planning Revenue","Directorate for the Built Environment"
"NHS Tayside",116670,"26-04-2010","Long Term Conditions Collab.","Health Delivery"
"NHS Grampian",20000000,"26-04-2010","Cash Advances To Health Boards","Health Finance"
"British Gas Trading Limited t/a British Gas Business",511611.45,"26-04-2010","Energy Assistance Programme - Management Fees","Housing & Regeneration"
"British Gas Trading Limited t/a British Gas Business",237350,"26-04-2010","Central Heating Initiative- Curr Exp","Housing & Regeneration"
